"","abandon.uaa","pop.dens","elevation"
"156",0.0806293442019106,25.4751131221719,451
"22",0.0517644496079001,89.847775175644,209
"61",0.0540197175210604,47.2619047619048,196
"223",0.512854848028315,36.9358669833729,847
"42",0.0891676026457007,49.8611111111111,282
"281",0.0113880492618221,497.236467236467,205
"103",0.14083524341782,30.2377521613833,619
"17",0.0992267676756689,302.948402948403,67
"19",0.045031973595478,139.36295503212,168
"102",0.304654382974267,25.7409440175631,430
"181",0.439935560586261,11.9918032786885,933
"132",0.136414503038015,31.3934426229508,427
"170",0.106519065190652,138.28125,135
"167",0.340051257573464,46.8786982248521,582
"121",0.0203413936773872,50.2875399361022,212
"173",0.394233161724138,44.2824601366743,467
"106",0.582112700387193,9.38040345821326,950
"194",0.546525356958424,11.8844807467911,939
"207",0.161086392209982,53.8627450980392,456
"137",0.083119874059749,25.6685714285714,517
"81",0.124534011752116,23.7235543018336,365
"259",0.0385935835207766,41.7241379310345,371
"82",0.0576872313296612,158.978562421185,177
"172",0.481134818229545,26.7226890756302,865
"55",0.0327200969677961,271.260504201681,112
"177",0.730930460333007,12.1104625056129,1145
"178",0.129928868413809,40.1702127659574,454
"201",0.441530800158123,21.3062409288824,845
"67",0.0480296661996575,320.679012345679,136
"290",0.089604934473962,604.319526627219,122
"240",0.584150802429606,26.9202898550725,688
"126",0.189420772281645,39.9389179755672,589
"262",0.0355018354662973,124.251700680272,129
"312",0.0561354458883172,727.828054298643,70
"157",0.027768556173403,35.6052631578947,249
"182",0.00763197470827799,90.8060453400504,287
"144",0.0264450424997336,81.6712580348944,133
"149",0.0745781438328646,336.730769230769,401
"244",0.638728331491117,19.5859872611465,843
"104",0.0805259869976777,33.2146892655367,435
"32",0.19805742804526,39.9656946826758,505
"203",0.201448226352269,33.3660451422964,664
"161",0.354391640049259,61.8953488372093,560
"304",0.0332940105229634,59.6488095238095,439
"169",0.405293755859448,122.462077012835,721
"110",0.107123378710154,57.6344086021505,591
"50",0.0809733756891124,17.5189283634246,444
"109",0.123092421818611,44.7099447513812,407
"159",0.0131653598289231,138.133577310156,228
"213",0.421362455537732,29.1376912378303,638
