"clasificacion";"sexo";"categoria";"subcategoria";"horas";"minutos";"segundos";"inscricion";"total.minutos";"total.segundos";"categoria.subcategoria"
"1";1;"M";"JUNIOR";"Z";0;30;28.14;1257;30.469;1828.14;"junior"
"46";46;"M";"JUNIOR";"Z";0;36;12.19;1252;36.2031666666667;2172.19;"junior"
"531";531;"M";"JUNIOR";"Z";0;50;7.77;1238;50.1295;3007.77;"junior"
"626";626;"M";"JUNIOR";"Z";0;52;47.77;1300;52.7961666666667;3167.77;"junior"
"651";651;"M";"JUNIOR";"Z";0;53;27.42;1277;53.457;3207.42;"junior"
"665";665;"M";"JUNIOR";"Z";0;53;49.34;1201;53.8223333333333;3229.34;"junior"
"834";834;"M";"JUNIOR";"Z";0;58;34.95;1260;58.5825;3514.95;"junior"
"847";847;"M";"JUNIOR";"Z";0;58;56.98;1218;58.9496666666667;3536.98;"junior"
"1000";1000;"M";"JUNIOR";"Z";1;3;11.39;1278;63.1898333333333;3791.39;"junior"
"1013";1013;"M";"JUNIOR";"Z";1;3;39.07;1268;63.6511666666667;3819.07;"junior"
"20";20;"M";"SENIOR";"B";0;34;31.95;1616;34.5325;2071.95;"senior.b"
"34";34;"M";"SENIOR";"B";0;35;35.11;1850;35.5851666666667;2135.11;"senior.b"
"165";165;"M";"SENIOR";"B";0;40;17.32;1786;40.2886666666667;2417.32;"senior.b"
"178";178;"M";"SENIOR";"B";0;40;39.35;1775;40.6558333333333;2439.35;"senior.b"
"313";313;"M";"SENIOR";"B";0;44;10.81;2141;44.1801666666667;2650.81;"senior.b"
"375";375;"M";"SENIOR";"A";0;45;51.27;1513;45.8545;2751.27;"senior.a"
"487";487;"M";"SENIOR";"B";0;48;48.62;2019;48.8103333333333;2928.62;"senior.b"
"532";532;"M";"SENIOR";"B";0;50;9.03;1916;50.1505;3009.03;"senior.b"
"614";614;"M";"SENIOR";"A";0;52;28.27;1512;52.4711666666667;3148.27;"senior.a"
"628";628;"M";"SENIOR";"B";0;52;50.46;1898;52.841;3170.46;"senior.b"
"18";18;"M";"VETERANO";"A";0;33;25;2557;33.4166666666667;2005;"veterano.a"
"159";159;"M";"VETERANO";"A";0;40;5.02;2649;40.0836666666667;2405.02;"veterano.a"
"198";198;"M";"VETERANO";"A";0;41;16.75;2489;41.2791666666667;2476.75;"veterano.a"
"427";427;"M";"VETERANO";"A";0;47;8.6;2530;47.1433333333333;2828.6;"veterano.a"
"447";447;"M";"VETERANO";"C";0;47;40.35;3022;47.6725;2860.35;"veterano.c"
"679";679;"M";"VETERANO";"A";0;54;16.91;2314;54.2818333333333;3256.91;"veterano.a"
"703";703;"M";"VETERANO";"B";0;54;52.56;2876;54.876;3292.56;"veterano.b"
"719";719;"M";"VETERANO";"A";0;55;17.99;2361;55.2998333333333;3317.99;"veterano.a"
"850";850;"M";"VETERANO";"B";0;59;0.16;2852;59.0026666666667;3540.16;"veterano.b"
"934";934;"M";"VETERANO";"A";1;1;14.46;2394;61.241;3674.46;"veterano.a"
"267";267;"F";"SENIOR";"A";0;43;4.24;1424;43.0706666666667;2584.24;"senior.a"
"339";339;"F";"SENIOR";"A";0;44;50.41;1554;44.8401666666667;2690.41;"senior.a"
"386";386;"F";"SENIOR";"B";0;46;11.04;2045;46.184;2771.04;"senior.b"
"418";418;"F";"SENIOR";"B";0;46;54.05;1950;46.9008333333333;2814.05;"senior.b"
"721";721;"F";"SENIOR";"B";0;55;21.23;1755;55.3538333333333;3321.23;"senior.b"
"821";821;"F";"SENIOR";"B";0;58;9.8;1955;58.1633333333333;3489.8;"senior.b"
"838";838;"F";"SENIOR";"B";0;58;39.95;2065;58.6658333333333;3519.95;"senior.b"
"859";859;"F";"SENIOR";"B";0;59;13.95;1981;59.2325;3553.95;"senior.b"
"949";949;"F";"SENIOR";"B";1;1;38.29;1758;61.6381666666667;3698.29;"senior.b"
"1009";1009;"F";"SENIOR";"A";1;3;29.74;1597;63.4956666666667;3809.74;"senior.a"
"344";344;"M";"INFANT-CADETE";"Z";0;44;58.98;811;44.983;2698.98;"infantil-cadete"
"507";507;"M";"INFANT-CADETE";"Z";0;49;24.05;836;49.4008333333333;2964.05;"infantil-cadete"
"641";641;"M";"INFANT-CADETE";"Z";0;53;12.04;765;53.2006666666667;3192.04;"infantil-cadete"
"666";666;"M";"INFANT-CADETE";"Z";0;53;54.5;172;53.9083333333333;3234.5;"infantil-cadete"
"857";857;"M";"INFANT-CADETE";"Z";0;59;9.99;279;59.1665;3549.99;"infantil-cadete"
"880";880;"M";"INFANT-CADETE";"Z";0;59;53.88;982;59.898;3593.88;"infantil-cadete"
"898";898;"M";"INFANT-CADETE";"Z";1;0;21.01;452;60.3501666666667;3621.01;"infantil-cadete"
"899";899;"M";"INFANT-CADETE";"Z";1;0;24.03;249;60.4005;3624.03;"infantil-cadete"
"980";980;"M";"INFANT-CADETE";"Z";1;2;34.65;182;62.5775;3754.65;"infantil-cadete"
"1091";1091;"M";"INFANT-CADETE";"Z";1;13;29.63;333;73.4938333333333;4409.63;"infantil-cadete"
"757";757;"F";"VETERANO";"B";0;56;21.81;2726;56.3635;3381.81;"veterano.b"
"784";784;"F";"VETERANO";"A";0;57;15.36;2465;57.256;3435.36;"veterano.a"
"900";900;"F";"VETERANO";"A";1;0;25.19;2516;60.4198333333333;3625.19;"veterano.a"
"969";969;"F";"VETERANO";"A";1;2;14.76;2342;62.246;3734.76;"veterano.a"
"992";992;"F";"VETERANO";"A";1;2;57.94;2368;62.9656666666667;3777.94;"veterano.a"
"992.1";992;"F";"VETERANO";"A";1;2;57.94;2368;62.9656666666667;3777.94;"veterano.a"
"1038";1038;"F";"VETERANO";"A";1;5;39.31;2651;65.6551666666667;3939.31;"veterano.a"
"1079";1079;"F";"VETERANO";"B";1;11;25.34;2788;71.4223333333333;4285.34;"veterano.b"
"1095";1095;"F";"VETERANO";"C";1;13;37.43;3002;73.6238333333333;4417.43;"veterano.c"
"1121";1121;"F";"VETERANO";"C";1;15;43.87;3040;75.7311666666667;4543.87;"veterano.c"
"349";349;"F";"JUNIOR";"Z";0;45;6.67;1251;45.1111666666667;2706.67;"junior"
"517";517;"F";"JUNIOR";"Z";0;49;42.01;1227;49.7001666666667;2982.01;"junior"
"608";608;"F";"JUNIOR";"Z";0;52;17.61;1240;52.2935;3137.61;"junior"
"608.1";608;"F";"JUNIOR";"Z";0;52;17.61;1240;52.2935;3137.61;"junior"
"608.2";608;"F";"JUNIOR";"Z";0;52;17.61;1240;52.2935;3137.61;"junior"
"1008";1008;"F";"JUNIOR";"Z";1;3;27.65;1281;63.4608333333333;3807.65;"junior"
"1012";1012;"F";"JUNIOR";"Z";1;3;36.11;1222;63.6018333333333;3816.11;"junior"
"1012.1";1012;"F";"JUNIOR";"Z";1;3;36.11;1222;63.6018333333333;3816.11;"junior"
"1012.2";1012;"F";"JUNIOR";"Z";1;3;36.11;1222;63.6018333333333;3816.11;"junior"
"1139";1139;"F";"JUNIOR";"Z";1;17;17.9;1230;77.2983333333333;4637.9;"junior"
"293";293;"F";"INFANT-CADETE";"Z";0;43;41.04;14;43.684;2621.04;"infantil-cadete"
"724";724;"F";"INFANT-CADETE";"Z";0;55;25.79;167;55.4298333333333;3325.79;"infantil-cadete"
"758";758;"F";"INFANT-CADETE";"Z";0;56;25.05;15;56.4175;3385.05;"infantil-cadete"
"835";835;"F";"INFANT-CADETE";"Z";0;58;37.37;1116;58.6228333333333;3517.37;"infantil-cadete"
"904";904;"F";"INFANT-CADETE";"Z";1;0;30.79;646;60.5131666666667;3630.79;"infantil-cadete"
"939";939;"F";"INFANT-CADETE";"Z";1;1;22.31;1110;61.3718333333333;3682.31;"infantil-cadete"
"1023";1023;"F";"INFANT-CADETE";"Z";1;4;10.99;282;64.1831666666667;3850.99;"infantil-cadete"
"1115";1115;"F";"INFANT-CADETE";"Z";1;15;0.53;5;75.0088333333333;4500.53;"infantil-cadete"
"1124";1124;"F";"INFANT-CADETE";"Z";1;16;4.14;181;76.069;4564.14;"infantil-cadete"
"1131";1131;"F";"INFANT-CADETE";"Z";1;16;36.71;856;76.6118333333333;4596.71;"infantil-cadete"
